simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	5.581021	-0.50267165	2.2354978	3382.9251	35.061935	34.344126	-0.33036603	-0.0076632668
1	0.43188698	-0.55696732	0.50728767	1893.3092	44.357721	34.219035	0.017457798	-0.015936512
2	1.4714451	-0.6398126	1.6305539	799.74446	22.164957	19.514237	0.19391438	0.076688886
3	1.2704703	-0.82123797	2.2630268	2478.8717	34.918872	33.379747	-0.16654515	0.15854392
4	3.1388802	-0.82096818	2.3758656	4838.6152	57.761789	43.922174	0.20111176	0.11670935
5	0.69378189	-1.3281683	2.1264561	2166.268	57.713852	52.974511	0.21372471	-0.0021588684
6	5.2884446	-0.3925152	2.7789984	1787.9602	15.810547	8.4432264	0.0094359428	0.5181772
7	5.3848129	-1.4872694	0.39693982	4879.244	109.88714	83.251946	0.18290144	-0.45177332
8	4.7482638	0.95330657	2.5572821	7095.956	73.228657	64.930067	0.87843616	0.74541401
9	0.48716586	-0.62965263	2.3569845	2003.9239	55.670783	52.411881	0.11177986	-0.051377988
10	3.6021614	0.70746652	2.6355427	1660.5091	11.483104	9.7269489	-0.18574953	0.30195316
11	0.74010806	0.84076389	2.9093968	6465.8391	106.15106	24.224336	0.57018332	0.0044322367
12	6.2678865	-0.47567179	2.7804448	8566.3613	71.279573	69.493123	0.0046516507	0.20277002
13	3.3870832	0.83179312	0.58871141	1233.9733	8.65099	7.9962496	0.058716063	0.45526297
14	3.70423	0.69447503	0.19379682	1773.699	16.848932	13.349607	-0.29508184	-0.2363848
15	3.5817722	0.52802104	0.6735585	3119.9286	48.939003	40.753216	-0.11274936	0.6350153
16	3.7971859	0.87535684	0.38678959	274.64673	27.827528	26.384573	0.12137735	0.21521371
17	0.66888419	0.72449942	0.41072353	1612.3675	21.764365	10.693866	0.18457266	-0.26367764
18	3.9378139	1.1195633	0.44109271	4819.9842	49.04258	25.416388	0.20418301	0.029354132
19	6.1280585	-0.5691877	0.23365737	4958.4529	47.282398	39.637336	0.56930864	-0.25754521
20	2.5551373	0.15590735	1.3743943	835.21633	11.808455	8.5607819	-0.099403981	0.058781813
21	3.9262421	0.79371775	0.6043866	2713.2527	32.177634	27.117263	0.59195843	0.013217561
22	1.277467	0.27687017	0.54791956	1180.1732	61.281998	31.458903	-0.11816985	0.17747219
23	2.9328673	0.2391873	0.1338611	3626.203	25.016894	20.862205	-0.091218858	0.26692396
24	2.7429147	-0.83090338	0.42219035	2063.373	16.140819	15.094796	0.3045711	0.72513399
25	5.0093436	0.57978635	0.44123057	8386.1778	69.42085	57.164322	-0.29712012	0.56761551
26	4.5625499	-0.0033924737	0.32873468	830.4267	14.235791	8.0186975	-0.54273882	-0.070995494
27	3.2600868	-0.72179625	2.48729	3847.2239	65.159055	34.973401	-0.22456644	-0.10144758
28	5.4614414	0.20350803	0.72901468	1598.1535	13.226916	11.134608	0.18660306	0.18972716
29	5.6884721	0.11746066	2.4076972	765.09446	8.3713815	2.4992445	0.8120648	0.24682594
30	4.5274938	-0.31407747	0.49975332	3404.2253	25.945015	17.214586	0.5195389	-0.41375223
31	1.2978968	1.0184008	0.20365918	4779.6627	65.664903	47.565687	0.41261861	-0.23449571
32	0.42200473	-0.33899638	2.3250295	1830.4312	51.602507	33.00962	0.0036951536	-0.52403846
33	0.96535827	1.405876	2.6485628	282.75074	54.656083	27.537912	-0.28492255	-0.45784577
34	5.5939389	-0.089808104	2.6479857	4715.8915	60.518584	58.138925	-0.45957112	-0.011710437
35	0.86125001	-0.38782735	0.29863599	8233.7018	58.996157	52.266244	0.48190506	0.6253388
36	1.2286402	0.6087806	2.4715962	8136.0585	84.106108	70.7904	0.13647646	-0.072114558
37	2.1300433	0.37971655	0.79373039	3442.8219	63.48075	41.478534	0.34214743	0.44091722
38	3.3950243	-0.33706707	2.3010108	607.30023	24.120331	9.3022218	-0.055400156	-0.13695746
39	2.4084685	0.086911397	0.26154381	296.42256	2.3524033	2.0449923	-0.1767555	-0.014443236
40	0.59251636	-1.2848864	0.045897956	2402.067	49.442873	30.355771	0.11143467	-0.16200968
41	0.096313154	-0.5208058	0.67685908	951.00884	59.315386	22.314127	-0.1286439	0.21585703
42	0.78005649	1.0052041	0.67907597	2400.1518	20.759953	14.16913	-0.071414806	-0.15877075
43	5.6154169	0.78766168	2.1815289	1215.5154	33.904692	24.719144	0.4471407	-0.64166835
44	4.673247	-0.95413214	1.1088945	3456.1898	76.835805	74.344277	-0.42752931	-0.014080083
45	5.575625	0.60180714	2.2818349	2111.7266	31.000784	22.578454	-0.38193878	0.65242274
46	3.6029505	-0.86447741	2.8300176	2210.1806	30.218223	9.8939743	-0.49678261	0.22408776
47	2.434501	-0.44445802	2.6385445	512.32819	1.8709302	1.5844556	0.12146003	0.17324942
48	5.6443706	0.07308826	0.51130883	1249.7515	10.328624	8.2571457	-0.028035922	0.025238544
49	3.1721989	0.60380936	0.90032262	8158.2294	102.35357	83.168294	0.47863704	0.72936233
50	2.2987218	-0.66782778	2.2454705	949.65596	34.385768	34.362286	0.88812108	-0.44051804
51	2.2201664	1.1211415	2.648567	3076.9031	39.173496	24.311655	-0.052852327	-0.72572477
52	6.0671339	-0.020319271	2.4977238	2599.633	39.011714	36.859079	0.52869186	0.19517315
53	4.8075375	0.10269399	2.1479062	2809.0517	70.281527	55.954282	-0.091164175	-0.62797795
54	0.69866177	0.81989794	0.42700355	8888.6516	101.12748	75.368002	-0.24413285	-0.13382399
55	3.3135728	0.72209747	2.3516611	1575.4931	64.594646	45.002348	0.033739067	0.013942362
56	0.47528232	0.1038875	1.0705414	2332.2307	33.920719	28.619853	-0.15746066	0.33691871
57	0.5808899	0.24411899	0.28610987	2828.3105	32.748713	24.235857	0.08471564	-0.59270069
58	2.8306436	0.19983041	2.6879702	1512.4036	12.165606	7.6941116	0.58846968	-0.30595209
59	4.2690116	-0.061137693	2.7058954	619.94259	15.019245	11.101648	-0.031912117	0.043697528
60	0.3098509	-0.23884249	0.89613979	3677.2437	32.78678	30.232149	0.74606273	0.73723896
61	4.9260559	0.77806619	2.7293805	548.67382	2.0140382	1.9691527	-0.21953715	-0.19908697
62	6.2328929	-0.54661009	0.80578592	1823.5983	18.73258	13.520598	0.084129109	-0.22484889
63	1.786631	0.68409147	0.40715415	1290.6884	23.642918	15.240697	0.019960181	-0.48201276
64	2.7374781	0.4540038	0.18661365	4123.1289	59.977856	55.132005	0.65127386	0.21846746
65	4.8641515	-1.1185281	0.66906745	1363.4939	19.04859	18.381733	-0.019082739	-0.32091201
66	2.3531795	0.055067242	0.14395914	781.54354	15.973571	12.972728	-0.56550846	-0.06962157
67	0.53974502	-0.66747287	2.862028	10047.697	110.19591	92.036917	0.03514922	0.33753049
68	4.2703887	0.87247801	2.2879091	1811.3843	53.044696	45.369893	0.39799573	0.053843137
69	6.0119545	-1.1535771	0.14941762	1084.247	12.924602	10.847568	-0.032201884	0.010313518
70	1.7542944	-0.024825885	0.4115078	1418.1462	34.535124	30.44023	-0.028314501	0.0035019012
71	3.6437136	0.6769452	1.0434226	2021.8679	24.581198	22.128713	-0.28425542	-0.11346198
72	5.3373964	0.1944663	2.1127356	134.58108	23.469884	10.609334	-0.27160191	0.040655525
73	5.6967739	0.28608051	0.4561375	1434.7095	25.610907	23.177556	-0.060831551	-0.014100836
74	5.7311327	0.79517612	0.80954091	531.66651	14.541604	7.612999	-0.39534732	-0.023047449
75	4.0083094	0.15306749	2.7603945	1656.4433	41.060983	40.709776	0.10156942	0.29454792
76	2.8737428	-1.2118011	2.2694631	3264.7566	44.56165	41.998065	0.10109862	0.51615128
77	3.7962892	0.10225033	1.3161152	2128.5876	36.742138	36.630046	0.034468337	0.42512534
78	4.1117304	1.1776959	2.6930017	536.29031	36.974927	20.106669	-0.28945962	0.099611423
79	4.7244838	0.055420077	2.6755138	693.05243	15.938372	13.473596	0.051695402	-0.01232002
80	2.9483481	1.4552104	2.2614681	3386.1223	106.96355	76.861123	-0.46413954	0.25768524
81	0.25017427	-1.1781865	0.49065742	8105.4286	168.86968	123.34858	0.80011429	0.54222469
82	1.2531091	-1.023311	0.26151526	1577.5584	21.395342	21.248009	0.56689461	-0.0044418417
83	0.20542458	-0.40706028	1.3856587	2038.1275	54.457301	46.578114	0.39799573	0.053843137
84	0.76268374	-0.33575691	2.9391875	1393.7426	42.657852	22.893285	-0.044498388	-0.11824334
85	4.6484458	0.3994863	0.98852277	202.2241	2.162526	1.6608185	-0.067177778	0.012920302
86	5.9660831	0.16259357	1.6375718	1210.0934	73.554022	31.888784	0.40978233	-0.25448997
87	6.0466993	-0.36310503	0.52853029	1779.8409	31.743647	13.89043	0.34983225	-0.02287797
88	0.23735807	0.19262581	2.5409593	2105.5209	59.914628	44.809566	-0.3566388	-0.17514611
89	1.9759382	-0.777022	2.2119842	2342.7144	59.125826	56.780537	-0.5459296	0.42065762
90	5.8116986	-0.3930687	1.7143043	1598.0395	58.128008	36.111221	0.15586747	-0.23032347
91	4.7567193	-0.31079822	2.1460224	3603.5473	27.173969	18.633004	0.68772911	-0.28689629
