name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW240109_050431,GW240109_050431-v1,1388811889.8,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240109_050431-v1,29.1,-6.1,6.9,18.0,-3.8,4.7,10.4,,,1450.0,-750.0,960.0,-0.08,-0.21,0.18,47.2,-5.6,6.4,19.7,-2.2,2.6,,,,0.28,-0.13,0.15,0.00022999999999999998,,,0.99,,,45.3,-5.4,6.2
GW240107_013215,GW240107_013215-v1,1388626353.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240107_013215-v1,60.0,-18.0,27.0,32.0,-17.0,21.0,9.6,,,5700.0,-3200.0,4700.0,0.35,-0.37,0.27,93.0,-19.0,30.0,36.6,-9.7,14.5,,,,0.87,-0.43,0.54,0.028,,,0.99,,,88.0,-19.0,28.0
GW240105_151143,GW240105_151143-v1,1388502721.2,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240105_151143-v1,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,3.3,,,0.7,,,,,
GW240104_164932,GW240104_164932-v1,1388422190.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240104_164932-v1,42.3,-6.7,9.1,32.3,-7.9,7.3,14.8,,,1890.0,-940.0,1080.0,0.09,-0.18,0.18,74.4,-8.3,11.1,31.8,-3.8,5.0,,,,0.35,-0.16,0.16,1e-05,,,0.99,,,70.8,-7.8,10.4
GW231231_154016,GW231231_154016-v1,1388072434.7,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_154016-v1,22.5,-3.2,5.2,17.2,-3.0,2.8,13.4,,,1060.0,-530.0,580.0,-0.03,-0.11,0.11,39.9,-3.3,4.0,17.1,-1.3,1.6,,,,0.21,-0.1,0.1,1e-05,,,0.99,,,38.1,-3.1,3.9
GW231231_120147,GW231231_120147-v1,1388059325.6,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_120147-v1,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,4.5,,,0.86,,,,,
GW231230_170116,GW231230_170116-v1,1387990895.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231230_170116-v1,53.0,-14.0,30.0,35.0,-13.0,15.0,8.2,,,5600.0,-3100.0,4400.0,-0.22,-0.34,0.32,88.0,-18.0,35.0,36.8,-7.8,12.9,,,,0.86,-0.42,0.52,0.42,,,0.96,,,85.0,-18.0,34.0
GW231226_101520,GW231226_101520-v1,1387620938.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231226_101520-v1,40.0,-2.6,4.1,35.3,-4.7,2.8,34.7,,,1160.0,-310.0,230.0,-0.08,-0.09,0.08,75.1,-2.7,3.3,32.6,-1.3,1.5,,,,0.23,-0.06,0.04,1e-05,,,0.99,,,71.7,-2.5,3.1
GW231224_024321,GW231224_024321-v1,1387421020.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231224_024321-v1,9.3,-1.1,2.2,7.32,-1.35,0.99,14.0,,,950.0,-400.0,280.0,-0.01,-0.06,0.07,16.66,-0.78,1.26,7.13,-0.28,0.48,,,,0.19,-0.07,0.05,1e-05,,,0.99,,,15.89,-0.76,1.23
GW231223_202619,GW231223_202619-v1,1387398397.0,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_202619-v1,11.1,-1.6,3.7,8.3,-1.9,1.4,10.0,,,890.0,-440.0,480.0,0.1,-0.11,0.13,19.6,-1.5,2.2,8.36,-0.57,0.66,,,,0.18,-0.08,0.08,0.002,,,0.99,,,18.7,-1.5,2.2
GW231223_075055,GW231223_075055-v1,1387353073.3,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_075055-v1,12.0,-2.9,6.9,6.8,-2.1,2.0,9.4,,,960.0,-420.0,570.0,0.07,-0.12,0.22,19.0,-2.0,4.6,7.81,-0.58,0.56,,,,0.19,-0.08,0.1,0.55,,,0.98,,,18.2,-1.9,4.8
GW231223_032836,GW231223_032836-v1,1387337334.1,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_032836-v1,46.0,-11.0,15.0,31.0,-15.0,12.0,10.2,,,4000.0,-2000.0,2900.0,-0.19,-0.36,0.34,77.0,-13.0,18.0,32.0,-7.0,8.3,,,,0.65,-0.29,0.37,0.00038,,,0.99,,,74.0,-12.0,17.0
